timestamp,action,thumb_force,index_force,middle_force,ring_force,little_force
2025-10-12T11:00:23.097,idle,140,37,188,257,65464
2025-10-12T11:00:23.312,idle,140,37,188,257,65464
2025-10-12T11:00:23.528,idle,140,37,188,257,65464
2025-10-12T11:00:23.730,idle,140,37,188,257,65464
2025-10-12T11:00:23.946,idle,140,37,188,257,65464
2025-10-12T11:00:24.162,idle,140,37,188,257,65464
2025-10-12T11:00:24.365,idle,140,37,188,257,65464
2025-10-12T11:00:24.580,idle,140,37,188,257,65464
2025-10-12T11:00:24.781,idle,140,37,188,257,65464
2025-10-12T11:00:24.994,idle,140,37,188,257,65464
2025-10-12T11:00:25.196,idle,140,37,188,257,65464
2025-10-12T11:00:25.397,idle,140,37,188,257,65464
2025-10-12T11:00:25.614,idle,140,37,188,257,65464
2025-10-12T11:00:25.815,idle,140,37,188,257,65464
2025-10-12T11:00:26.016,idle,140,37,188,257,65464
2025-10-12T11:00:26.232,idle,140,37,188,257,65464
2025-10-12T11:00:26.434,idle,140,37,188,257,65464
2025-10-12T11:00:26.650,idle,140,37,188,257,65464
2025-10-12T11:00:26.865,idle,140,37,188,257,65464
2025-10-12T11:00:27.082,idle,140,37,188,257,65464
2025-10-12T11:00:27.298,hook_4,140,37,188,257,65464
2025-10-12T11:00:27.515,hook_4,85,41,156,238,65464
2025-10-12T11:00:29.293,hook_4,85,41,157,226,65464
2025-10-12T11:00:29.508,open_all,85,41,157,226,65464
2025-10-12T11:00:29.710,open_all,120,42,176,243,65464
2025-10-12T11:00:30.140,open_all,140,34,186,253,65464
2025-10-12T11:00:30.355,open_all,140,34,186,253,65464
2025-10-12T11:00:30.559,open_all,140,34,186,253,65464
2025-10-12T11:00:30.775,open_all,140,34,186,253,65464
2025-10-12T11:00:30.978,open_all,140,34,186,253,65464
2025-10-12T11:00:31.179,open_all,140,35,186,253,65464
2025-10-12T11:00:31.383,open_all,140,35,186,253,65464
2025-10-12T11:00:31.585,open_all,140,35,186,253,65464
2025-10-12T11:00:31.790,open_all,140,35,186,253,65464
2025-10-12T11:00:31.991,open_all,140,35,186,253,65464
2025-10-12T11:00:32.207,open_all,140,35,186,253,65464
2025-10-12T11:00:32.421,open_all,140,35,186,253,65464
2025-10-12T11:00:32.636,grip,140,35,186,253,65464
2025-10-12T11:00:32.837,grip,132,73,201,284,177
2025-10-12T11:00:33.469,grip,357,350,454,555,1166
2025-10-12T11:00:33.671,grip,548,516,585,687,1557
2025-10-12T11:00:33.873,grip,640,705,678,641,1627
2025-10-12T11:00:34.075,grip,366,758,707,616,1589
2025-10-12T11:00:34.277,grip,308,758,696,628,1551
2025-10-12T11:00:34.492,grip,285,737,643,641,1481
2025-10-12T11:00:34.693,grip,261,711,609,643,1446
2025-10-12T11:00:34.896,grip,221,657,560,639,1436
2025-10-12T11:00:35.111,grip,178,594,512,635,1418
2025-10-12T11:00:35.315,grip,165,558,486,634,1397
2025-10-12T11:00:35.517,grip,158,540,473,638,1377
2025-10-12T11:00:35.718,grip,152,525,461,637,1371
2025-10-12T11:00:35.934,open_all,142,494,438,624,1362
2025-10-12T11:00:36.137,open_all,133,446,395,596,1302
2025-10-12T11:00:36.341,open_all,116,171,230,362,483
2025-10-12T11:00:36.760,open_all,146,73,204,287,79
2025-10-12T11:00:36.962,open_all,144,43,188,264,65512
2025-10-12T11:00:37.164,open_all,144,36,187,259,65485
2025-10-12T11:00:37.369,open_all,144,36,187,259,65479
2025-10-12T11:00:37.572,open_all,144,36,187,259,65479
2025-10-12T11:00:37.788,open_all,144,37,187,259,65479
2025-10-12T11:00:37.992,open_all,144,37,187,259,65479
2025-10-12T11:00:38.194,open_all,144,37,187,259,65479
2025-10-12T11:00:38.399,open_all,144,37,187,259,65479
2025-10-12T11:00:38.603,open_all,144,37,187,259,65479
2025-10-12T11:00:38.806,open_all,144,37,187,259,65479
2025-10-12T11:00:39.022,open_all,144,37,187,259,65479
2025-10-12T11:00:39.224,open_all,144,37,187,259,65479
2025-10-12T11:00:39.428,open_all,144,37,187,259,65479
2025-10-12T11:00:39.630,open_all,144,37,187,259,65479
2025-10-12T11:00:39.834,open_all,144,37,187,259,65479
2025-10-12T11:00:40.050,thumbs_up,144,37,187,259,65479
2025-10-12T11:00:40.253,thumbs_up,144,37,187,259,65479
2025-10-12T11:00:40.469,thumbs_up,114,740,573,457,390
2025-10-12T11:00:42.423,thumbs_up,92,755,597,739,459
2025-10-12T11:00:42.628,thumbs_up,86,755,598,795,455
2025-10-12T11:00:42.830,thumbs_up,86,753,597,802,442
2025-10-12T11:00:43.032,open_all,86,746,594,798,435
2025-10-12T11:00:43.248,open_all,102,353,592,557,140
2025-10-12T11:00:43.652,open_all,144,124,482,343,65527
2025-10-12T11:00:43.856,open_all,144,50,434,278,65486
2025-10-12T11:00:44.058,open_all,144,33,378,260,65475
2025-10-12T11:00:44.261,open_all,144,33,329,260,65475
2025-10-12T11:00:44.462,open_all,144,33,254,260,65475
2025-10-12T11:00:44.878,open_all,144,35,194,260,65475
2025-10-12T11:00:45.084,open_all,144,35,167,260,65475
2025-10-12T11:00:45.501,open_all,144,35,167,260,65475
2025-10-12T11:00:45.705,open_all,144,35,167,260,65475
2025-10-12T11:00:45.906,open_all,144,35,165,260,65475
2025-10-12T11:00:46.107,open_all,144,35,165,260,65475
2025-10-12T11:00:46.308,open_all,144,35,165,260,65475
2025-10-12T11:00:46.510,open_all,144,35,165,260,65475
2025-10-12T11:00:46.712,open_all,144,35,165,260,65475
